Caption	Description	Identifying Number	Install Date	Install Location	Install State	Name	Package Cache	SKU Number	Vendor	Version
Microsoft Office Shared MUI (English) 2007	Microsoft Office Shared MUI (English) 2007	{90120000-006E-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Shared MUI (English) 2007	C:\Windows\Installer\61ca8.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Proof (English) 2007	Microsoft Office Proof (English) 2007	{90120000-001F-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Proof (English) 2007	C:\Windows\Installer\61cda.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Proof (Spanish) 2007	Microsoft Office Proof (Spanish) 2007	{90120000-001F-0C0A-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Proof (Spanish) 2007	C:\Windows\Installer\61cd0.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Proof (French) 2007	Microsoft Office Proof (French) 2007	{90120000-001F-040C-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Proof (French) 2007	C:\Windows\Installer\61cd5.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Visio Viewer 2007	Microsoft Office Visio Viewer 2007	{95120000-0052-0409-0000-0000000FF1CE}		5	Microsoft Office Visio Viewer 2007	C:\Windows\Installer\1546e7.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Application Error Reporting	Microsoft Application Error Reporting	{95120000-00B9-0409-1000-0000000FF1CE}		5	Microsoft Application Error Reporting	c:\Windows\Installer\c172f0f.msi		Microsoft Corporation	12.0.6015.5000
Microsoft Office File Validation Add-In	Microsoft Office File Validation Add-In	{90140000-2005-0000-0000-0000000FF1CE}		5	Microsoft Office File Validation Add-In	C:\Windows\Installer\505b2.msi		Microsoft Corporation	14.0.5130.5003
VmciSockets	VmciSockets	{98DE7960-458C-4104-90E9-910389C81AC9}		5	VmciSockets	C:\Windows\Installer\4a047b.msi		VMware, Inc.	9.1.54.1
McAfee Asset Baseline Monitor Agent	McAfee Asset Baseline Monitor Agent	{10B75DD0-5BF6-4A5A-B22E-9D0254FC6C77}	C:\Program Files (x86)\McAfee\ABM\	5	McAfee Asset Baseline Monitor Agent	C:\Windows\Installer\4927a1.msi		McAfee, Inc.	3.5.0
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	{4B6C7001-C7D6-3710-913E-5BC23FCE91E6}		5	Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	c:\Windows\Installer\4a0475.msi		Microsoft Corporation	9.0.30729.4148
ACR38/100/122 PC/SC Driver 1.1.5.0	ACR38/100/122 PC/SC Driver 1.1.5.0	{28C2A281-631A-4D7E-B926-30C1F033E6A5}		5	ACR38/100/122 PC/SC Driver 1.1.5.0	C:\Windows\Installer\3e4e33.msi		Advanced Card Systems Ltd.	1.1.5
Microsoft Visual C++ 2005 Redistributable (x64)	Microsoft Visual C++ 2005 Redistributable (x64)	{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}		5	Microsoft Visual C++ 2005 Redistributable (x64)	C:\Windows\Installer\3af74f.msi		Microsoft Corporation	8.0.61000
VMware vSphere Client 4.1	VMware vSphere Client 4.1	{A0B433B1-941D-46F5-AE59-286263534232}	C:\Program Files (x86)\VMware\Infrastructure\	5	VMware vSphere Client 4.1	C:\Windows\Installer\1e064a.msi		VMware, Inc.	4.1.0.32733
SQL Server 2008 R2 SP1 Database Engine Services	SQL Server 2008 R2 SP1 Database Engine Services	{FBD367D1-642F-47CF-B79B-9BE48FB34007}		5	SQL Server 2008 R2 SP1 Database Engine Services	c:\Windows\Installer\c172f85.msi		Microsoft Corporation	10.51.2500.0
Configuration Manager Client	Configuration Manager Client	{2609EDF1-34C4-4B03-B634-55F3B3BC4931}		5	Configuration Manager Client	C:\Windows\Installer\5056e.msi		Microsoft Corporation	4.00.6487.2000
ApproveIt Desktop	ApproveIt Desktop	{6ECD42B2-32AF-4898-880D-0608EA5C592A}		5	ApproveIt Desktop	C:\Windows\Installer\3e4e40.msi		Silanis Technology Inc.	6.10.10.1000
McAfee Agent	McAfee Agent	{2AAB21C2-4CDA-4189-A0EC-5ED666113F84}	C:\Program Files (x86)\McAfee\Common Framework\	5	McAfee Agent	C:\Windows\Installer\53424f9.msi		McAfee, Inc.	4.5.0201
ActivClient CAC x64	ActivClient CAC x64	{86E45973-5352-439F-A115-2E8EE4D40140}		5	ActivClient CAC x64	C:\Windows\Installer\a698e1.msi		ActivIdentity	6.2
Roxio Creator Data	Roxio Creator Data	{0D397393-9B50-4C52-84D5-77E344289F87}	C:\Program Files (x86)\Common Files\Roxio Shared\9.0\Roxio Central33\Data\	5	Roxio Creator Data	C:\Windows\Installer\335316.msi		Roxio	3.5.0
Java 7 Update 17	Java 7 Update 17	{26A24AE4-039D-4CA4-87B4-2F83217017FF}	C:\Program Files (x86)\Java\jre7\	5	Java 7 Update 17	C:\Windows\Installer\189d115.msi		Oracle	7.0.170
Java(TM) 6 Update 41 (64-bit)	Java(TM) 6 Update 41 (64-bit)	{26A24AE4-039D-4CA4-87B4-2F86416041FF}	C:\Program Files\Java\jre6\	5	Java(TM) 6 Update 41 (64-bit)	C:\Windows\Installer\1e192130.msi		Oracle	6.0.410
DameWare Mini Remote Control 7.5	DameWare Mini Remote Control 7.5	{4FE6CFE4-82AC-434E-9483-002FBCD6A3A0}	C:\Program Files\DameWare\DameWare Mini Remote Control 7.5\	5	DameWare Mini Remote Control 7.5	C:\Windows\Installer\5570e.msi		DameWare	7.5.9.1
SQL Server 2008 R2 SP1 Database Engine Shared	SQL Server 2008 R2 SP1 Database Engine Shared	{C942A025-A840-4BF2-8987-849C0DD44574}		5	SQL Server 2008 R2 SP1 Database Engine Shared	c:\Windows\Installer\c172f6e.msi		Microsoft Corporation	10.51.2500.0
Roxio Activation Module	Roxio Activation Module	{07159635-9DFE-4105-BFC0-2817DB540C68}	C:\Program Files (x86)\Common Files\Roxio Shared\DLLShared\	5	Roxio Activation Module	C:\Windows\Installer\33548f.msi		Roxio	1.0
McAfee Policy Auditor Agent	McAfee Policy Auditor Agent	{48804885-8367-42B0-A425-DA558F5CCD04}	C:\Program Files (x86)\McAfee\Policy Auditor Agent\	5	McAfee Policy Auditor Agent	C:\Windows\Installer\b1d58f.msi		McAfee, Inc.	5.3.0
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}		5	Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	c:\Windows\Installer\4a04b8.msi		Microsoft Corporation	9.0.30729.6161
Adobe Acrobat X Pro - English, Français, Deutsch	Adobe Acrobat X Pro - English, Français, Deutsch	{AC76BA86-1033-F400-7760-000000000005}	C:\Program Files (x86)\Adobe\Acrobat 10.0\	5	Adobe Acrobat X Pro - English, Français, Deutsch	C:\Windows\Installer\55707.msi		Adobe Systems	10.1.6
